hashtag-video,Vertices,Edges,Components,Largest component size,Degree Assortativity,Clustering Coefficient,Diameter,Undirected Diameter,% of vertices in the largest component,Global degree centralization,Largest component degree centralization,Global closeness centralization,Largest component closeness centralization,Global betweenness centralization,Largest component betweenness centralization
anime,2351,7105,1976,112,1.0,1.0,1,1,0.05,0.04,0.0,NA,0.0,0.0,0.0
asmr,214,0,214,1,NA,NA,0,0,0.0,NA,NA,NA,NA,NA,NA
biden2024,281,10,272,3,1.0,1.0,1,1,0.01,0.01,0.0,NA,0.0,0.0,0.0
blacklivesmatter,527,41,504,6,1.0,1.0,1,1,0.01,0.01,0.0,NA,0.0,0.0,0.0
booktok,4810,7178,4036,73,1.0,1.0,1,1,0.02,0.01,0.0,NA,0.0,0.0,0.0
challenge,668,27,646,4,1.0,1.0,1,1,0.01,0.0,0.0,NA,0.0,0.0,0.0
climatechange,92,0,92,1,NA,NA,0,0,0.01,NA,NA,NA,NA,NA,NA
comedy,6702,2607,5930,22,1.0,1.0,1,1,0.0,0.0,0.0,NA,0.0,0.0,0.0
conspiracy,435,35,416,5,1.0,1.0,1,1,0.01,0.01,0.0,NA,0.0,0.0,0.0
election,401,29,382,5,1.0,1.0,1,1,0.01,0.01,0.0,NA,0.0,0.0,0.0
football,1293,420,1226,26,1.0,1.0,1,1,0.02,0.02,0.0,NA,0.0,0.0,0.0
gaza,1034,232,958,11,1.0,1.0,1,1,0.01,0.01,0.0,NA,0.0,0.0,0.0
gym,929,66,898,9,1.0,1.0,1,1,0.01,0.01,0.0,NA,0.0,0.0,0.0
israel,816,59,766,4,1.0,1.0,1,1,0.0,0.0,0.0,NA,0.0,0.0,0.0
jazz,32,0,32,1,NA,NA,0,0,0.03,NA,NA,NA,NA,NA,NA
kpop,1100,28645,726,236,1.0,1.0,1,1,0.21,0.17,0.0,NA,0.0,0.0,0.0
learnontiktok,792,43,758,4,1.0,1.0,1,1,0.01,0.0,0.0,NA,0.0,0.0,0.0
lgbt,2111,1410,1856,29,1.0,1.0,1,1,0.01,0.01,0.0,NA,0.0,0.0,0.0
maga,1311,121,1244,9,1.0,1.0,1,1,0.01,0.01,0.0,NA,0.0,0.0,0.0
makeup,1069,3584,886,67,1.0,1.0,1,1,0.06,0.06,0.0,NA,0.0,0.0,0.0
minecraft,169,86,150,13,1.0,1.0,1,1,0.08,0.07,0.0,NA,0.0,0.0,0.0
movie,782,377,698,22,1.0,1.0,1,1,0.03,0.03,0.0,NA,0.0,0.0,0.0
news,1197,234,1088,10,1.0,1.0,1,1,0.01,0.01,0.0,NA,0.0,0.0,0.0
palestine,1550,482,1418,19,1.0,1.0,1,1,0.01,0.01,0.0,NA,0.0,0.0,0.0
plantsoftiktok,140,2,138,2,NA,NA,1,1,0.01,NA,NA,NA,NA,NA,NA
science,451,30,432,5,1.0,1.0,1,1,0.01,0.01,0.0,NA,0.0,0.0,0.0
storytime,2330,12574,1890,140,1.0,1.0,1,1,0.06,0.06,0.0,NA,0.0,0.0,0.0
tiktoknews,150,2,148,2,NA,NA,1,1,0.01,NA,NA,NA,NA,NA,NA
trump2024,1120,272,1040,18,1.0,1.0,1,1,0.02,0.01,0.0,NA,0.0,0.0,0.0
watermelon,339,44,318,8,1.0,1.0,1,1,0.02,0.02,0.0,NA,0.0,0.0,0.0
